Number,Name,Class,Position,Birth City,HighSchool ,School
15,Tyler Barnes,Jr,F,Louisville (KY),St. Xavier High School,Alabama
11,James Bolden,Sr,PG,Covington (KY),Holmes High School,Alabama
0,Javian Davis-Fleming,Fr,C,Canton (MS),Canton High School,Alabama
12,Jaylen Forbes,Fr,F,Florence (MS),Florence High School,Alabama
4,Juwan Gary,Fr,SF,Columbia (SC),Gray Collegiate Academy,Alabama
35,Raymond Hawkins,Fr,PF,Oakland (CA),Findlay College Prep,Alabama
21,Britton Johnson,So,G,Mountain Brook (AL),Mountain Brook High School,Alabama
1,Herb Jones,Jr,SF,Newburn (AL),Hale County High School,Alabama
2,Kira Lewis,So,PG,Hazel Green (AL),Hazel Green High School,Alabama
23,John Petty,Jr,SF,Huntsville (AL),J.O. Johnson High School,Alabama
3,Alex Reese,Jr,FC,Pelham (AL),Pelham High School,Alabama
33,James Rojas,Jr,F,Jamestown (NY),Jamestown High School,Alabama
5,Jaden Shackelford,Fr,G,Hesperia (CA),Hesperia Christian High School,Alabama
30,Galin Smith,Jr,F,Clinton (MS),Clinton High School,Alabama
21,Jordan Brown,So,F,Roseville (CA),Prolific Prep,Arizona
55,Jake Desjardins,Sr,SG,Henderson (NV),Coronado High School,Arizona
14,Devonaire Doutrive,So,G,Los Angeles (CA),Van Nuys High School,Arizona
13,Stone Gettings,Sr,PF,Los Angeles (CA),Loyola High School,Arizona
0,Josh Green,Fr,SG,Glendale (AZ),IMG Academy,Arizona
5,Max Hazzard,Sr,PG,Los Angeles (CA),Loyola High School,Arizona
4,Chase Jeter,Sr,C,Las Vegas (NV),Bishop Gorman High School,Arizona
52,Kory Jones,Jr,G,Herndon (VA),Westfield High School,Arizona
35,Christian Koloko,Fr,C,Douala,Sierra Canyon School,Arizona
11,Ira Lee,Jr,F,San Pedro (CA),Crossroads School,Arizona
1,Nico Mannion,Fr,PG,Siena,Pinnacle High School,Arizona
22,Zeke Nnaji,Fr,PF,Hopkins (MN),Hopkins High School,Arizona
3,Dylan Smith,Sr,SG,Birmingham (AL),Hoover High School,Arizona
54,Matt Weyand,Jr,F,Santa Ana (CA),Mater Dei High School,Arizona
2,Brandon Williams,So,PG,Encino (CA),Crespi Carmelite High School,Arizona
22,Andre Allen,Jr,F,Los Angeles (CA),N/A,Arizona State
12,Micah Burno,Fr,G,Scottsdale (AZ),N/A,Arizona State
35,Taeshon Cherry,So,SF,San Diego (CA),Foothills Christian,Arizona State
3,Caleb Christopher,Fr,SG,Los Angeles (CA),Mayfair High School,Arizona State
2,Rob Edwards,Sr,SG,Detroit (MI),Cass Technical High School,Arizona State
5,Kyle Feit,So,G,West Palm Beach (FL),IMG Academy,Arizona State
25,Grant Fogerty,Sr,G,Scottsdale (AZ),Desert Mountain High School,Arizona State
24,Jalen Graham,Fr,F,Phoenix (AZ),Mountain Pointe High School,Arizona State
10,Jaelen House,Fr,PG,Phoenix (AZ),Shadow Mountain High School,Arizona State
4,Kimani Lawrence,Jr,SF,Providence (RI),New Hampton School,Arizona State
1,Remy Martin,Jr,PG,Chatsworth (CA),Sierra Canyon School,Arizona State
3,Mickey Mitchell,Sr,SF,Plano (TX),Plano West Senior High School,Arizona State
15,John Olmsted,Fr,PF,Morenci (AZ),N/A,Arizona State
20,Khalid Thomas,Jr,F,Portland (OR),West Linn High School,Arizona State
11,Elias Valtonen,So,SG,Eura,N/A,Arizona State
11,"Alonzo Verge, Jr.",Jr,G,Villa Park (IL),Proviso West High School,Arizona State
23,Romello White,Jr,PF,Suwanee (GA),IMG Academy,Arizona State
2,Adrio Bailey,Sr,PF,Campti (LA),Lakeview High School,Arkansas
35,Reggie Chaney,So,PF,Frisco (TX),Findlay College Prep,Arkansas
0,Jeantal Cylla,Sr,SF,Boynton Beach (FL),Lake Worth Christian School,Arkansas
5,Jalen Harris,Jr,PG,Wilson (NC),Word of God Christian Academy,Arkansas
24,Ethan Henderson,So,PF,Little Rock (AR),Parkview Arts and Science Magnet High School,Arkansas
-,Justice Hill,Fr,PG,Little Rock (AR),Little Rock Christian High School,Arkansas
22,Abayomi Iyiola,Jr,F,Atlanta (GA),Greenforest Christian High School,Arkansas
1,Isaiah Joe,So,SG,Fort Smith (AR),Northside High School,Arkansas
15,Mason Jones,Jr,G,DeSoto (TX),DeSoto High School,Arkansas
13,Emeka Obukwelu,Jr,F,Plano (TX),Plano West Senior High School,Arkansas
3,Desi Sills,So,G,Jonesboro (AR),Jonesboro High School,Arkansas
12,Ty Stevens,Jr,G,Republic (MO),Republic High School,Arkansas
33,Jimmy Whitt,Sr,PG,Columbia (MO),Hickman High School,Arkansas
13,Babatunde Akingbola,Fr,PF,Powder Springs (GA),McEachern High School,Auburn
12,Lior Berman,Fr,GF,Mountain Brook (AL),Mountain Brook High School,Auburn
35,Devan Cambridge,Fr,G,Athens (TN),Hillcrest Prep,Auburn
54,Thomas Collier,Sr,F,Birmingham (AL),Briarwood Christian High School,Auburn
14,Preston Cook,So,GF,Auburn (AL),Auburn High School,Auburn
10,Samir Doughty,Jr,SG,Philadelphia (PA),"Mathematics, Civics and Sciences Charter School",Auburn
22,Allen Flanigan,Fr,SG,Little Rock (AR),Parkview Arts and Science Magnet High School,Auburn
4,Javon Franklin,So,F,Little Rock (AR),Parkview Arts and Science Magnet High School,Auburn
1,Jamal Johnson,So,SG,Birmingham (AL),Spain Park High School,Auburn
0,Tyrell Jones,Fr,PG,Tallahassee (FL),West Oak Academy,Auburn
33,Chase Maasdorp,So,G,Lakewood (FL),Out of Door Academy,Auburn
21,Will Macoy,Sr,G,Birmingham (AL),Mountain Brook High School,Auburn
24,Anfernee McLemore,Sr,PF,Sylvester (GA),Worth County High School,Auburn
5,J'Von Mccormick,Sr,G,Katy (TX),Mayde Creek High School,Auburn
23,Isaac Okoro,Fr,SG,Powder Springs (GA),McEachern High School,Auburn
20,Myles Parker,So,F,Madison (AL),Madison Academy,Auburn
3,Danjel Purifoy,Sr,SF,Centreville (AL),Hargrave Military Academy,Auburn
50,Austin Wiley,Sr,F,Birmingham (AL),Spain Park High School,Auburn
2,Jaylin Williams,Fr,PF,Nahunta (GA),Brantley County High School,Auburn
2,Devonte Bandoo,Sr,G,Brampton,Faith Baptist Christian Academy,Baylor
12,Jared Butler,So,PG,Reserve (LA),Riverside Academy,Baylor
25,Tristan Clark,Jr,PF,San Antonio (TX),Findlay College Prep,Baylor
33,Freddie Gillespie,Sr,F,St. Paul (MN),East Ridge High School,Baylor
4,Mario Kegler,Jr,SF,Jackson (MS),Oak Hill Academy,Baylor
24,Matthew Mayer,So,SF,Austin (TX),Westlake High School,Baylor
45,Davion Mitchell,So,PG,Stockbridge (GA),Liberty County High School,Baylor
13,Jackson Moffatt,Fr,F,Magnolia (TX),Magnolia West High School,Baylor
15,Obim Okeke,Sr,G,Las Vegas (NV),Bishop Gorman High School,Baylor
31,MaCio Teague,Jr,PG,Cincinnati (OH),Walnut Hills High School,Baylor
0,Flo Thamba,So,C,Kinshasa,Mountain Mission High School,Baylor
5,Jordan Turner,Fr,SF,Wolfforth (TX),Sunrise Christian Academy,Baylor
11,Mark Vital,Jr,SF,Lake Charles (LA),Prime Prep Academy,Baylor
22,Matt DiLuccio,Sr,G,Rockville Centre (NY),South Side High School,Boston College
0,C.J. Felder,Fr,SF,Sumter (SC),Sumter High School,Boston College
1,Jairus Hamilton,So,SF,Concord (NC),Cannon School,Boston College
3,Jared Hamilton,Sr,GF,Charlotte (NC),St. Frances Academy,Boston College
5,"Jay Heath, Jr.",Fr,SG,Arlington (VA),Woodrow Wilson High School,Boston College
24,"Chris Herren, Jr.",So,G,Boston (MA),Tabor Academy,Boston College
30,Sam Holtze,Jr,PG,Sherman Oaks (CA),Notre Dame High School,Boston College
34,Will Jackowitz,Jr,F,Wellesley (MA),Wellesley High School,Boston College
13,Luka Kraljevic,Jr,C,Ljubljana,Don Bosco Preparatory High School,Boston College
41,Steffon Mitchell,Jr,SF,Shakopee (MN),Shakopee High School,Boston College
21,Nik Popovic,Sr,SF,Banja Luka,Sagemont School,Boston College
2,Julian Rishwain,Fr,SF,Sherman (TX),Notre Dame High School,Boston College
10,Wynston Tabbs,So,PG,Leonardtown (MD),St. Mary's Ryken High School,Boston College
11,Derryck Thornton,Sr,PG,Las Vegas (NV),Findlay College Prep,Boston College
14,Kamari Williams,Fr,SF,Sandy Spring (MD),St. Andrew's Episcopal School,Boston College
12,Koch Bar,Sr,C,Abyei,Arlington Country Day School,Bradley
1,Ari Boya,So,C,Douala,Calusa Preparatory School,Bradley
5,"Darrell Brown, Jr.",Sr,PG,Memphis (TN),Germantown High School,Bradley
14,Riley Burger,Fr,GF,Orono (MN),Totino-Grace High School,Bradley
10,Elijah Childs,Jr,F,Kansas City (MO),Lee's Summit West High School,Bradley
3,Stephan Gabriel,Fr,SF,Maplewood (NJ),Hillcrest Prep,Bradley
22,Ja'Shon Henry,So,GF,Wilcox,Athol Murray College of Notre Dame,Bradley
13,Sean Houpt,Fr,G,Danville (IL),Danville High School,Bradley
51,Rienk Johannes Mast,Fr,C,Groningen,N/A,Bradley
25,Nate Kennell,Sr,SG,Metamora (IL),Metamora Township High School,Bradley
0,Danya Kingsby,Jr,PG,Milwaukee (WI),Alexander Hamilton High School,Bradley
21,Kevin McAdoo,Jr,G,West Bloomfield (MI),West Bloomfield High School,Bradley
23,Ville Tahvanainen,Fr,SF,Helsinki,Helsinki Basketball Academy,Bradley
2,Antonio Thomas,Fr,SG,Memphis (TN),Memphis East High School,Bradley
2,Walter Ellis,So,SG,South Bend (IN),Brewster Academy,Bucknell
10,Andrew Funk,So,SG,Warminster (PA),Archbishop Wood High School,Bucknell
12,John Meeks,Jr,F,Burlington (NC),Burlington Christian Academy,Bucknell
13,Bruce Moore,Sr,SF,Randallstown (MD),McDonogh School,Bucknell
0,Paul Newman,Jr,C,Philadelphia (PA),St. Andrew's High School,Bucknell
3,Malachi Rhodes,Fr,SF,McDonough (GA),Joseph Wheeler High School,Bucknell
21,Xander Rice,Fr,SF,Middletown (NJ),The Patrick School,Bucknell
14,Ben Robertson,Sr,SF,High Point (NC),High Point Christian Academy,Bucknell
5,Jordan Sechan,Jr,G,New Canaan (CT),Northfield Mount Hermon School,Bucknell
4,Jimmy Sotos,Jr,G,Elk Grove (IL),James B. Conant High School,Bucknell
23,Kahliel Spear,So,F,The Colony (TX),The Colony High School,Bucknell
40,Alex Timmerman,Fr,C,Crystal Lake (IL),Crystal Lake Central High School,Bucknell
11,Avi Toomer,Sr,SG,Atlanta (GA),Grady High School,Bucknell
32,Jake Van Der Heijden,Fr,SF,Raleigh (NC),Ravenscroft School,Bucknell
41,Brock Bertram,Jr,C,Apple Valley (MN),Apple Valley High School,Buffalo
23,Jamon Bivens,Jr,G,Atlanta (GA),Fayette County High School,Buffalo
31,Giambattista Davis,Sr,GF,Buffalo (NY),Park School of Buffalo,Buffalo
24,Tra'Von Fagan,Jr,F,Waterloo (IA),Cedar Falls High School,Buffalo
5,Savion Gallion,Fr,G,Washington (DC),Mt. Zion Prep,Buffalo
1,Gabe Grant,Sr,F,Chicago (IL),Mount Carmel High School,Buffalo
3,Jayvon Graves,Jr,G,Malvern (OH),St. Vincent St. Mary High School,Buffalo
22,Laquill Hardnett,Fr,SF,Nottingham (MD),Perry Hall High School,Buffalo
2,Antwain Johnson,Sr,PG,Malone (FL),Malone High School,Buffalo
21,Dominic Johnson,Jr,F,Windsor,Catholic Central High School,Buffalo
4,Davonta Jordan,Sr,PG,Melbourne (FL),Florida Air Academy,Buffalo
34,Joshua Mballa,So,SF,Paris,Putnam Science Academy,Buffalo
20,Patrick Moore,Sr,G,Fredonia (NY),Fredonia High School,Buffalo
0,David Nickelberry,Jr,PF,Orlando (FL),Windermere Preparatory School,Buffalo
10,Ronaldo Segu,So,PG,Orlando (FL),Orlando Christian Prep High School,Buffalo
42,David Skogman,Fr,PF,Waukesha (WI),Waukesha West High School,Buffalo
11,"Jeenathan Williams, Jr.",So,SG,Rochester (NY),Prolific Prep,Buffalo
